================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,246 commercial trades   proven=821  inferred=160  unknown=265
  by method: courier=821  unresolved=265  sector=76  delivery=59  visit=25
  (also 25 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                             Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  11h 43m TEL Vulture Sentinel [PJE-887]   Out Energy Cells      15,100    15.54     234,654  —                                       [?] unknown
  11h 44m Magpie Sentinel [LSS-543]        Out Refined Metals       276   207.00      57,132  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  11h 44m [0x202b3]                        Out Energy Cells          73    22.00       1,606  —                                       [?] unknown
  11h 48m Osprey Vanguard [GBS-045]        Out Refined Metals       173   206.06      35,648  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  11h 52m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  11h 56m Magpie Sentinel [LSS-543]        Out Energy Cells       1,530    22.00      33,660  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  11h 57m Demeter Vanguard [TKZ-886]       Out Energy Cells       2,580    16.84      43,447  TEL Helium Refinery I (HHG-108)         [v] proven (courier)
  12h 05m Magpie Sentinel [LSS-543]        Out Energy Cells       3,200    16.39      52,448  TEL Medical Supply Factory I (FCI-465)  [v] proven (courier)
  12h 08m TEL Vulture Sentinel [FXA-416]   Out Energy Cells       2,618    15.99      41,862  —                                       [?] unknown
  12h 13m Osprey Vanguard [GBS-045]        Out Energy Cells       2,430    17.76      43,157  TEL Nostrop Oil Factory II (AML-461)    [v] proven (courier)
  12h 13m Tern Sentinel [BFM-940]          Out Energy Cells       1,724    18.05      31,118  TEL Hull Part Factory II (JSP-571)      [v] proven (courier)
  12h 17m Magpie Sentinel [LSS-543]        Out Energy Cells       1,380    15.88      21,914  TEL Scanning Array Factory I (NQA-203)  [v] proven (courier)
  12h 21m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  12h 21m Demeter Vanguard [TKZ-886]       Out Refined Metals       564   206.33     116,370  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  12h 23m Magpie Sentinel [LSS-543]        Out Energy Cells       3,870    15.61      60,411  TEL Ice Refinery I (YIS-514)            [v] proven (courier)
  12h 29m Osprey Vanguard [GBS-045]        Out Energy Cells         780    19.52      15,226  TEL Advanced Electronics Factory I (CY  [v] proven (courier)
  12h 32m Magpie Sentinel [LSS-543]        Out Energy Cells         420    17.35       7,287  TEL Advanced Electronics Factory I (PI  [v] proven (courier)
  12h 37m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  12h 43m Magpie Sentinel [LSS-543]        Out Energy Cells       1,269    21.99      27,905  TEL Spice Farm I (KAE-228)              [v] proven (courier)
  12h 46m Demeter Vanguard [TKZ-886]       Out Energy Cells       1,556    17.94      27,915  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  12h 47m Hermes Vanguard [CQA-528]        Out Energy Cells       6,960    15.64     108,854  PAR Ice Refinery I (HZC-691)            [~] infer (delivery)
  12h 53m Osprey Vanguard [GBS-045]        Out Energy Cells         760    17.40      13,224  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  12h 55m Magpie Sentinel [LSS-543]        Out Energy Cells       1,159    17.31      20,062  TEL Hull Part Factory I (HNB-704)       [v] proven (courier)
  12h 56m Tern Sentinel [BFM-940]          Out Antimatter Cells     400   127.04      50,816  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  12h 57m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  13h 00m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     200   124.51      24,902  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  13h 01m TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     200   121.00      24,200  —                                       [?] unknown
  13h 07m Magpie Sentinel [LSS-543]        Out Medical Supplies      67    97.90       6,559  ANT Weapon Component Factory II (JFD-6  [v] proven (courier)
  13h 09m Osprey Vanguard [GBS-045]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  13h 09m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  13h 13m Demeter Vanguard [TKZ-886]       Out Energy Cells       2,388    22.00      52,536  TEL Microchip Factory IV (LWS-533)      [v] proven (courier)
  13h 13m Tern Sentinel [HZG-526]          Out Refined Metals       264   146.53      38,684  TEL Teladianium Foundry II (FSR-648)    [~] infer (delivery)
  13h 19m Magpie Sentinel [LSS-543]        Out Energy Cells       2,040    18.97      38,699  TEL Scanning Array Factory I (STG-922)  [v] proven (courier)
  13h 24m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   124.51      16,809  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  13h 27m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  13h 30m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     400   127.04      50,816  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  13h 32m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  13h 34m Magpie Sentinel [LSS-543]        Out Antimatter Cells      65   123.40       8,021  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  13h 45m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   177.50      23,962  ARG Engine Part Factory I (IHN-704)     [v] proven (courier)
  13h 46m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  13h 46m Magpie Sentinel [LSS-543]        Out Antimatter Cells      80   133.05      10,644  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  13h 47m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     200   124.51      24,902  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  13h 55m [0x202b3]                        Out Energy Cells         230    22.00       5,060  —                                       [?] unknown
  13h 57m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  13h 58m TEL Vulture Vanguard [MUJ-674]   Out Energy Cells       2,861    13.97      39,968  —                                       [?] unknown
  13h 59m Demeter Vanguard [TKZ-886]       Out Energy Cells         654    21.71      14,198  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  14h 01m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  14h 02m TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     306   142.77      43,688  —                                       [?] unknown
  14h 04m Osprey Vanguard [GBS-045]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  14h 06m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   152.41      32,768  PAR Claytronics Factory I (DGO-960)     [v] proven (courier)
  14h 14m TEL Vulture Sentinel [PJE-887]   Out Energy Cells       2,915    14.15      41,247  —                                       [?] unknown
  14h 15m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  14h 16m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     438   158.32      69,344  PAR Claytronics Factory I (DGO-960)     [v] proven (courier)
  14h 17m ANT Ides Vanguard [BYA-680]      In  Plasma Conductor      12  1282.00      15,384  —                                       [?] unknown
  14h 21m PAR Demeter Vanguard [PKF-684]   In  Plasma Conductor       1  1282.00       1,282  —                                       [?] unknown
  14h 21m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   148.30      31,885  PAR Claytronics Factory I (DGO-960)     [v] proven (courier)
  14h 22m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   179.19      24,191  ARG Engine Part Factory I (IHN-704)     [v] proven (courier)
  14h 25m Demeter Vanguard [NHS-141]       In  Plasma Conductor       1  1282.00       1,282  —                                       [?] unknown
  14h 25m Tern Sentinel [BFM-940]          Out Energy Cells       1,407    22.86      32,164  ANT Advanced Electronics Factory I (TQ  [v] proven (courier)
  14h 28m ANT Ides Sentinel [GDC-116]      In  Plasma Conductor       1  1282.00       1,282  —                                       [?] unknown
  14h 29m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  14h 32m ANT Ides Sentinel [GDC-116]      In  Plasma Conductor      13  1282.00      16,666  —                                       [?] unknown
  14h 33m TEL Tern Vanguard [LLU-433]      In  Plasma Conductor      21  1282.00      26,922  —                                       [?] unknown
  14h 33m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   143.74      30,904  ARG Claytronics Factory I (ORH-289)     [v] proven (courier)
  14h 34m TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     100   126.80      12,680  —                                       [?] unknown
  14h 34m Demeter Vanguard [TKZ-886]       Out Antimatter Cells      80   133.05      10,644  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  14h 37m ARG Ides Vanguard [PNX-210]      Out Energy Cells       2,520    15.34      38,657  —                                       [?] unknown
  14h 40m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  14h 45m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   124.51      16,809  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  14h 54m Magpie Sentinel [LSS-543]        Out Refined Metals        25    89.00       2,225  ARG Hull Part Factory III (OPO-874)     [~] infer (delivery)
  14h 55m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  14h 55m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     438   141.89      62,148  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  14h 57m Ides Vanguard [CUE-614]          In  Plasma Conductor       8  1282.00      10,256  —                                       [?] unknown
  14h 59m ARG Mercury Vanguard [XMI-886]   In  Plasma Conductor       7  1282.00       8,974  —                                       [?] unknown
  14h 59m Demeter Vanguard [NHS-141]       In  Plasma Conductor      22  1282.00      28,204  —                                       [?] unknown
  14h 59m TEL Vulture Vanguard [HYK-413]   Out Energy Cells       3,070    13.63      41,844  —                                       [?] unknown
  15h 00m Ides Vanguard [CUE-614]          In  Plasma Conductor      31  1282.00      39,742  —                                       [?] unknown
  15h 01m Demeter Vanguard [NHS-141]       In  Plasma Conductor       1  1282.00       1,282  —                                       [?] unknown
  15h 03m Vulture Vanguard [HIZ-122]       Out Refined Metals       240    89.00      21,360  TEL Hull Part Factory I (HNB-704)       [~] infer (delivery)
  15h 04m PAR Tethys Vanguard [BPX-964]    In  Plasma Conductor      49  1282.00      62,818  —                                       [?] unknown
  15h 08m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  15h 08m TEL Tern Vanguard [TSK-328]      In  Plasma Conductor     320  1282.00     410,240  —                                       [?] unknown
  15h 12m ARG Mercury Vanguard [HCH-872]   Out Refined Metals       585   107.62      62,958  —                                       [?] unknown
  15h 13m Demeter Vanguard [NHS-141]       In  Plasma Conductor      33  1282.00      42,306  —                                       [?] unknown
  15h 13m TEL Vulture Vanguard [QAK-194]   In  Plasma Conductor     223  1282.00     285,886  —                                       [?] unknown
  15h 13m ARG Ides Vanguard [RDD-778]      Out Energy Cells       5,511    11.00      60,621  —                                       [?] unknown
  15h 16m Demeter Vanguard [TKZ-886]       Out Energy Cells         531    21.80      11,576  PAR Drone Component Factory I (TWV-868  [v] proven (courier)
  15h 16m Tern Sentinel [LVQ-086]          Out Refined Metals       403    89.00      35,867  TEL Teladianium Foundry II (FSR-648)    [~] infer (delivery)
  15h 20m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.94      48,902  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  15h 20m Osprey Vanguard [GBS-045]        Out Refined Metals       173   107.94      18,674  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  15h 24m TEL Tern Sentinel [JYX-544]      Out Energy Cells      13,600    15.52     211,072  —                                       [?] unknown
  15h 24m Osprey Vanguard [EXL-556]        Out Energy Cells         960    20.20      19,392  TEL Advanced Electronics Factory I (CY  [~] infer (visit)
  15h 27m Tern Sentinel [UEK-696]          Out Refined Metals       320    93.40      29,888  TEL Scanning Array Factory I (WEN-308)  [~] infer (delivery)
  15h 29m Magpie Sentinel [LSS-543]        Out Antimatter Cells      80   133.05      10,644  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  15h 31m Tern Sentinel [BFM-940]          Out Antimatter Cells     178   138.24      24,607  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  15h 36m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     438   139.43      61,070  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  15h 38m Osprey Vanguard [EXL-556]        Out Energy Cells       1,950    17.57      34,262  TEL Scanning Array Factory I (XXR-298)  [~] infer (visit)
  15h 41m Magpie Sentinel [LSS-543]        Out Energy Cells       1,259    19.85      24,991  TEL Microchip Factory II (ZZA-122)      [v] proven (courier)
  15h 47m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  15h 47m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   136.90      18,482  ARG Engine Part Factory I (IHN-704)     [v] proven (courier)
  15h 50m TEL Tern Vanguard [JIP-779]      Out Energy Cells      10,880    15.95     173,536  —                                       [?] unknown
  15h 50m Magpie Sentinel [LSS-543]        Out Energy Cells       2,080    20.43      42,494  TEL Hull Part Factory I (OWV-766)       [v] proven (courier)
  15h 51m TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     240   126.82      30,437  —                                       [?] unknown
  15h 58m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  16h 02m Demeter Vanguard [TKZ-886]       Out Refined Metals       564   190.91     107,673  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  16h 03m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen           1,600    50.10      80,160  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  16h 04m Osprey Vanguard [EXL-556]        Out Antimatter Cells      80   130.37      10,430  ARG Engine Part Factory I (TNN-118)     [~] infer (visit)
  16h 06m Magpie Sentinel [LSS-543]        Out Refined Metals       276   149.81      41,348  PAR Hull Part Factory I (GZX-947)       [v] proven (courier)
  16h 10m Osprey Vanguard [EXL-556]        Out Energy Cells       1,800    17.27      31,086  TEL Scanning Array Factory I (NQA-203)  [~] infer (visit)
  16h 14m Osprey Vanguard [GBS-045]        Out Antimatter Cells      80   133.05      10,644  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  16h 14m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  16h 19m Osprey Vanguard [EXL-556]        Out Energy Cells         879    19.30      16,965  TEL Turret Component Factory I (FVH-52  [~] infer (visit)
  16h 20m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  16h 20m TEL Tern Vanguard [YPH-231]      Out Antimatter Cells     604   122.63      74,069  —                                       [?] unknown
  16h 21m Magpie Sentinel [LSS-543]        Out Energy Cells       2,195    21.70      47,632  TEL Advanced Composite Factory I (WTF-  [v] proven (courier)
  16h 30m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  16h 34m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     400   126.57      50,628  ARG Claytronics Factory I (ORH-289)     [v] proven (courier)
  16h 36m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  16h 37m Magpie Sentinel [LSS-543]        Out Antimatter Cells     200   124.48      24,896  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  16h 41m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   141.91      19,158  HAT High Tech Factory II (ZQX-238)      [v] proven (courier)
  16h 45m Magpie Sentinel [LSS-543]        Out Energy Cells       1,830    19.34      35,392  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  16h 46m Tern Sentinel [HZG-526]          Out Refined Metals       971   138.10     134,095  TEL Teladianium Foundry II (FSR-648)    [~] infer (delivery)
  16h 50m Osprey Vanguard [EXL-556]        Out Refined Metals       173   152.34      26,355  ANT Hull Part Factory I (HIN-266)       [~] infer (visit)
  16h 53m Magpie Sentinel [LSS-543]        Out Energy Cells       2,700    16.82      45,414  TEL Nostrop Oil Factory I (SUA-021)     [v] proven (courier)
  16h 54m Tern Sentinel [BFM-940]          Out Refined Metals       971   208.09     202,055  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  16h 58m TEL Tern Vanguard [YPH-231]      Out Antimatter Cells      65   122.34       7,952  —                                       [?] unknown
  17h 02m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  17h 05m Tern Sentinel [UEK-696]          Out Refined Metals       863   119.67     103,275  TEL Scanning Array Factory I (WEN-308)  [~] infer (delivery)
  17h 06m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   124.61      16,822  TEL Claytronics Factory I (HQE-367)     [v] proven (courier)
  17h 07m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  17h 08m Demeter Vanguard [TKZ-886]       Out Energy Cells       1,043    21.65      22,581  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  17h 10m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  17h 15m Magpie Sentinel [LSS-543]        Out Energy Cells         720    21.82      15,710  ANT Weapon Component Factory I (MVK-69  [v] proven (courier)
  17h 17m Osprey Vanguard [EXL-556]        Out Refined Metals       173   133.02      23,012  ANT Hull Part Factory I (HIN-266)       [~] infer (visit)
  17h 22m Osprey Vanguard [GBS-045]        Out Energy Cells       2,430    19.70      47,871  TEL Nostrop Oil Factory I (AWA-247)     [v] proven (courier)
  17h 29m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   135.18      29,064  PAR Claytronics Factory I (DGO-960)     [v] proven (courier)
  17h 29m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             971    50.95      49,472  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  17h 34m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     100   123.93      12,393  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  17h 36m Osprey Vanguard [EXL-556]        Out Energy Cells         445    20.29       9,029  TEL Drone Component Factory I (VWZ-124  [~] infer (visit)
  17h 38m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  17h 40m Osprey Vanguard [GBS-045]        Out Energy Cells         951    21.92      20,846  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  17h 47m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  17h 47m Magpie Sentinel [LSS-543]        Out Antimatter Cells      85   123.80      10,523  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  17h 48m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen           1,280    51.04      65,331  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  17h 48m Tern Sentinel [HZG-526]          Out Refined Metals       469   106.29      49,850  TEL Teladianium Foundry II (FSR-648)    [~] infer (delivery)
  17h 54m Tern Sentinel [BFM-940]          Out Antimatter Cells     180   124.27      22,369  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  17h 55m Osprey Vanguard [EXL-556]        Out Energy Cells         840    21.32      17,909  TEL Advanced Electronics Factory I (PI  [~] infer (visit)
  18h 01m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   125.90      27,068  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  18h 01m Vulture Vanguard [FKP-127]       Out Energy Cells       6,840    15.59     106,636  —                                       [?] unknown
  18h 04m Osprey Vanguard [GBS-045]        Out Refined Metals       173   192.67      33,332  ANT Scanning Array Factory I (DOJ-956)  [v] proven (courier)
  18h 06m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             999    50.96      50,909  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  18h 07m Demeter Vanguard [TKZ-886]       Out Refined Metals       564   192.45     108,542  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  18h 10m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  18h 13m Tern Sentinel [BFM-940]          Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  18h 16m Osprey Vanguard [EXL-556]        Out Antimatter Cells     135   127.50      17,212  PAR Claytronics Factory I (DGO-960)     [~] infer (visit)
  18h 18m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   134.70      28,960  ARG Claytronics Factory I (ORH-289)     [v] proven (courier)
  18h 25m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             640    50.85      32,544  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  18h 26m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  18h 31m Osprey Vanguard [GBS-045]        Out Energy Cells         882    24.20      21,344  TEL Weapon Component Factory IV (FQD-4  [v] proven (courier)
  18h 36m Magpie Sentinel [LSS-543]        Out Refined Metals       276   194.09      53,569  ANT Scanning Array Factory I (DOJ-956)  [v] proven (courier)
  18h 40m TEL Tern Vanguard [EXQ-203]      Out Antimatter Cells     604   151.08      91,252  —                                       [?] unknown
  18h 41m Tern Sentinel [BFM-940]          Out Antimatter Cells     400   127.04      50,816  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  18h 42m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             337    50.76      17,106  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  18h 42m Osprey Vanguard [EXL-556]        Out Refined Metals       173   175.18      30,306  ANT Hull Part Factory II (WFF-475)      [~] infer (visit)
  18h 43m Demeter Vanguard [TKZ-886]       Out Refined Metals       441   194.61      85,823  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  18h 51m Magpie Sentinel [LSS-543]        Out Energy Cells       1,382    20.45      28,262  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  18h 57m TEL Tern Vanguard [YPH-231]      Out Antimatter Cells     604   177.59     107,264  —                                       [?] unknown
  18h 58m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             960    50.94      48,902  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  18h 59m Osprey Vanguard [GBS-045]        Out Refined Metals       173   204.43      35,366  ANT Hull Part Factory I (HIN-266)       [v] proven (courier)
  19h 03m ARG Mercury Vanguard [HCH-872]   Out Refined Metals       585   135.75      79,414  —                                       [?] unknown
  19h 05m Magpie Sentinel [LSS-543]        Out Refined Metals       276   195.96      54,085  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  19h 06m Osprey Vanguard [EXL-556]        Out Refined Metals       173   167.95      29,055  HAT High Tech Factory II (ZQX-238)      [~] infer (visit)
  19h 07m ARG Mercury Sentinel [FBT-458]   Out Energy Cells       7,035    15.45     108,691  —                                       [?] unknown
  19h 11m TEL Vulture Vanguard [RFN-491]   Out Antimatter Cells     671   151.82     101,871  —                                       [?] unknown
  19h 14m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     438   151.42      66,322  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  19h 18m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen           1,214    51.02      61,938  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  19h 20m Magpie Sentinel [LSS-543]        Out Refined Metals       276   127.25      35,121  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  19h 22m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   154.93      20,916  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  19h 28m Osprey Vanguard [EXL-556]        Out Refined Metals       173   135.28      23,403  ANT Hull Part Factory II (XCV-961)      [~] infer (visit)
  19h 29m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  19h 35m Demeter Vanguard [TKZ-886]       Out Antimatter Cells      80   123.42       9,874  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  19h 36m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             334    50.76      16,954  TEL Refined Goods Complex I (DDJ-474)   [v] proven (courier)
  19h 37m Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   169.75      36,496  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  19h 42m Tern Sentinel [UEK-696]          Out Refined Metals       971    95.96      93,177  TEL Scanning Array Factory I (WEN-308)  [~] infer (delivery)
  19h 45m Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   137.23      18,526  HAT High Tech Factory II (ZQX-238)      [v] proven (courier)
  19h 45m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  19h 47m Tern Sentinel [BFM-940]          Out Refined Metals       847   208.68     176,752  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  19h 50m Magpie Sentinel [LSS-543]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  19h 51m Manorina (Gas) Sentinel [NJI-617 Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  19h 54m Vulture Vanguard [FKP-127]       Out Energy Cells       6,163    16.58     102,183  —                                       [?] unknown
  19h 55m Osprey Vanguard [EXL-556]        Out Antimatter Cells      80   128.72      10,298  ARG Engine Part Factory I (TNN-118)     [~] infer (visit)
  19h 56m Demeter Vanguard [TKZ-886]       Out Antimatter Cells     296   141.29      41,822  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  19h 59m Magpie Sentinel [LSS-543]        Out Antimatter Cells      80   131.02      10,482  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
